fs	behav
FS_R_Superiortemporal_Thck	Social_Task_Median_RT_TOM
FS_R_Supramarginal_Thck	Social_Task_Median_RT_Unsure
FS_R_Frontalpole_Thck	Social_Task_Random_Perc_Random
FS_R_Temporalpole_Thck	Social_Task_Random_Median_RT_Random
FS_R_Transversetemporal_Thck	Social_Task_Random_Perc_TOM
FS_R_Insula_Thck	Social_Task_Random_Median_RT_TOM
FS_L_Bankssts_Area	Social_Task_Random_Perc_Unsure
FS_L_Caudalanteriorcingulate_Area	Social_Task_Random_Median_RT_Unsure
FS_L_Caudalmiddlefrontal_Area	Social_Task_Random_Perc_NLR
FS_L_Cuneus_Area	Social_Task_TOM_Perc_Random
FS_L_Entorhinal_Area	Social_Task_TOM_Median_RT_Random
FS_L_Fusiform_Area	Social_Task_TOM_Perc_TOM
FS_L_Inferiorparietal_Area	Social_Task_TOM_Median_RT_TOM
FS_L_Inferiortemporal_Area	Social_Task_TOM_Perc_Unsure
FS_L_Isthmuscingulate_Area	Social_Task_TOM_Median_RT_Unsure
FS_L_Lateraloccipital_Area	Social_Task_TOM_Perc_NLR
FS_L_Lateralorbitofrontal_Area	WM_Task_Acc
FS_L_Lingual_Area	WM_Task_Median_RT
FS_L_Medialorbitofrontal_Area	WM_Task_2bk_Acc
FS_L_Middletemporal_Area	WM_Task_2bk_Median_RT
FS_L_Parahippocampal_Area	WM_Task_0bk_Acc
FS_L_Paracentral_Area	WM_Task_0bk_Median_RT
FS_L_Parsopercularis_Area	WM_Task_0bk_Body_Acc
FS_L_Parsorbitalis_Area	WM_Task_0bk_Body_Acc_Target
FS_L_Parstriangularis_Area	WM_Task_0bk_Body_Acc_Nontarget
FS_L_Pericalcarine_Area	WM_Task_0bk_Face_Acc
FS_L_Postcentral_Area	WM_Task_0bk_Face_Acc_Target
FS_L_Posteriorcingulate_Area	WM_Task_0bk_Face_ACC_Nontarget
FS_L_Precentral_Area	WM_Task_0bk_Place_Acc
FS_L_Precuneus_Area	WM_Task_0bk_Place_Acc_Target
FS_L_Rostralanteriorcingulate_Area	WM_Task_0bk_Place_Acc_Nontarget
FS_L_Rostralmiddlefrontal_Area	WM_Task_0bk_Tool_Acc
FS_L_Superiorfrontal_Area	WM_Task_0bk_Tool_Acc_Target
FS_L_Superiorparietal_Area	WM_Task_0bk_Tool_Acc_Nontarget
FS_L_Superiortemporal_Area	WM_Task_2bk_Body_Acc
FS_L_Supramarginal_Area	WM_Task_2bk_Body_Acc_Target
FS_L_Frontalpole_Area	WM_Task_2bk_Body_Acc_Nontarget
FS_L_Temporalpole_Area	WM_Task_2bk_Face_Acc
FS_L_Transversetemporal_Area	WM_Task_2bk_Face_Acc_Target
FS_L_Insula_Area	WM_Task_2bk_Face_Acc_Nontarget
FS_R_Bankssts_Area	WM_Task_2bk_Place_Acc
FS_R_Caudalanteriorcingulate_Area	WM_Task_2bk_Place_Acc_Target
FS_R_Caudalmiddlefrontal_Area	WM_Task_2bk_Place_Acc_Nontarget
FS_R_Cuneus_Area	WM_Task_2bk_Tool_Acc
FS_R_Entorhinal_Area	WM_Task_2bk_Tool_Acc_Target
FS_R_Fusiform_Area	WM_Task_2bk_Tool_Acc_Nontarget
FS_R_Inferiorparietal_Area	WM_Task_0bk_Body_Median_RT
FS_R_Inferiortemporal_Area	WM_Task_0bk_Body_Median_RT_Target
FS_R_Isthmuscingulate_Area	WM_Task_0bk_Body_Median_RT_Nontarget
FS_R_Lateraloccipital_Area	WM_Task_0bk_Face_Median_RT
FS_R_Lateralorbitofrontal_Area	WM_Task_0bk_Face_Median_RT_Target
FS_R_Lingual_Area	WM_Task_0bk_Face_Median_RT_Nontarget
FS_R_Medialorbitofrontal_Area	WM_Task_0bk_Place_Median_RT
FS_R_Middletemporal_Area	WM_Task_0bk_Place_Median_RT_Target
FS_R_Parahippocampal_Area	WM_Task_0bk_Place_Median_RT_Nontarget
FS_R_Paracentral_Area	WM_Task_0bk_Tool_Median_RT
FS_R_Parsopercularis_Area	WM_Task_0bk_Tool_Median_RT_Target
FS_R_Parsorbitalis_Area	WM_Task_0bk_Tool_Median_RT_Nontarget
FS_R_Parstriangularis_Area	WM_Task_2bk_Body_Median_RT
FS_R_Pericalcarine_Area	WM_Task_2bk_Body_Median_RT_Target
FS_R_Postcentral_Area	WM_Task_2bk_Body_Median_RT_Nontarget
FS_R_Posteriorcingulate_Area	WM_Task_2bk_Face_Median_RT
FS_R_Precentral_Area	WM_Task_2bk_Face_Median_RT_Target
FS_R_Precuneus_Area	WM_Task_2bk_Face_Median_RT_Nontarget
